Header:
v=0.300000
T=0.366336
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
-0.055559,0.263291,0.248842,-0.729884,0.699140,4.000049,0.000000,0.912269,0.000000,-0.658325,0.000000,5.000000,-14.341083,-0.000000,-1.048209,0.000000
-0.054623,0.226703,0.246098,-0.765821,0.712757,0.944651,0.003441,1.090553,-0.002278,-0.673469,0.019520,19.867496,-10.855296,-0.000000,-0.711345,0.003663
-0.053742,0.200287,0.243223,-0.801759,0.724435,-0.931092,0.007067,1.209266,-0.004307,-0.649736,0.041291,28.071131,-7.369508,-0.000000,-0.374481,0.007327
-0.052914,0.184043,0.240217,-0.837696,0.734175,-1.627180,0.010879,1.268410,-0.006085,-0.587127,0.065313,29.610905,-3.883720,-0.000000,-0.037617,0.010990
-0.052141,0.177972,0.237080,-0.873634,0.741976,-1.143612,0.014875,1.267983,-0.007615,-0.485642,0.091584,24.486819,-0.397932,0.000000,0.299248,0.014653
-0.051421,0.182087,0.233812,-0.909573,0.747844,0.520067,0.019057,1.207771,-0.008916,-0.343769,0.119653,12.723807,3.087855,0.000000,0.636112,0.018317
-0.050707,0.194076,0.230433,-0.943410,0.753451,2.684875,0.023151,1.103135,-0.009974,-0.193729,0.144806,-1.466815,5.106028,1.346288,0.610857,0.021980
-0.049933,0.210985,0.226970,-0.972433,0.760966,4.475747,0.026807,0.973437,-0.010815,-0.073879,0.159998,-12.598428,6.414316,3.343774,0.410447,0.025643
-0.049078,0.231711,0.223432,-0.995628,0.771204,5.564807,0.029893,0.825851,-0.011458,0.002004,0.162408,-18.604224,7.722605,5.341259,0.210036,0.029307
-0.048140,0.256255,0.219821,-1.012993,0.784164,5.952054,0.032409,0.660376,-0.011903,0.033920,0.152035,-19.484203,9.030894,7.338745,0.009625,0.032970
-0.047120,0.284615,0.216135,-1.024526,0.799853,5.637543,0.034354,0.477004,-0.012149,0.021755,0.128876,-15.240469,10.339182,9.336231,-0.190786,0.036634
-0.046036,0.313420,0.212408,-1.029067,0.817184,4.771374,0.035820,0.291783,-0.012272,-0.025750,0.097610,-7.300984,9.487742,12.078101,-0.311048,0.040297
-0.044936,0.334252,0.208720,-1.023718,0.833435,3.728581,0.037037,0.144817,-0.012458,-0.086635,0.069936,0.768141,4.589600,16.214731,-0.281136,0.043960
-0.043857,0.340789,0.205132,-1.006297,0.846583,2.790536,0.038175,0.066155,-0.012847,-0.144791,0.054612,6.286337,-0.308543,20.351362,-0.251224,0.047624
-0.042797,0.333033,0.201645,-0.976804,0.856629,1.957240,0.039235,0.055797,-0.013440,-0.200219,0.051639,9.253604,-5.206685,24.487992,-0.221312,0.051287
-0.041756,0.310982,0.198259,-0.935241,0.863573,1.228623,0.040216,0.113726,-0.014237,-0.252874,0.061018,9.671095,-10.104828,28.624622,-0.191400,0.054950
-0.040736,0.274995,0.194974,-0.881779,0.867454,0.604984,0.041117,0.238068,-0.015233,-0.302032,0.082540,7.585743,-14.769579,32.661111,-0.160988,0.058614
