Header:
v=1.000000
T=0.308187
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
-0.063750,0.894076,0.246913,-0.707791,0.697974,3.978685,0.000000,1.937241,0.000010,-0.628836,0.000196,4.998547,4.924319,0.521145,0.469451,0.000000
-0.060953,0.909371,0.244688,-0.735879,0.708714,4.802696,0.005732,1.856513,-0.001878,-0.649164,0.019752,0.371332,7.274926,1.162106,0.118657,0.003082
-0.058079,0.930385,0.242387,-0.762408,0.716696,4.602594,0.011032,1.739484,-0.003676,-0.639889,0.046831,-0.054756,9.625532,1.803066,-0.232138,0.006164
-0.055130,0.957118,0.240008,-0.787378,0.721919,3.378380,0.015900,1.586154,-0.005384,-0.601010,0.081435,3.720285,11.976138,2.444027,-0.582932,0.009246
-0.052105,0.989566,0.237552,-0.810791,0.724384,1.130100,0.020335,1.396527,-0.007002,-0.532646,0.123561,11.696385,14.326744,3.084987,-0.933727,0.012327
-0.049005,1.024684,0.235027,-0.832232,0.723327,-1.725928,0.024299,1.183525,-0.008467,-0.440739,0.173066,21.684022,13.883006,4.104852,-0.966452,0.015409
-0.045831,1.055960,0.232450,-0.850813,0.717111,-4.299655,0.027707,0.974777,-0.009644,-0.338166,0.229636,29.002445,11.377738,5.404256,-0.764521,0.018491
-0.042583,1.081140,0.229828,-0.866233,0.705173,-6.283863,0.030529,0.779822,-0.010489,-0.229514,0.293164,32.036210,8.872469,6.703659,-0.562589,0.021573
-0.039260,1.100031,0.227159,-0.878390,0.687329,-7.659625,0.032746,0.599100,-0.010989,-0.114610,0.363873,30.647824,6.367200,8.003062,-0.360658,0.024655
-0.035865,1.112240,0.224444,-0.887334,0.664175,-8.364649,0.034373,0.436599,-0.011160,0.001545,0.438765,24.773133,3.712018,9.151554,-0.128493,0.027737
-0.032459,1.116846,0.221700,-0.894615,0.642743,-8.117670,0.035750,0.320045,-0.011242,0.080660,0.490622,15.522145,0.213374,9.450966,0.273782,0.030819
-0.029078,1.112941,0.218937,-0.901168,0.627616,-6.696287,0.037082,0.269106,-0.011389,0.095398,0.501018,3.458887,-3.285270,9.750379,0.676057,0.033901
-0.025724,1.100525,0.216156,-0.906992,0.618794,-4.100501,0.038371,0.283782,-0.011599,0.045758,0.469953,-11.416642,-6.783914,10.049792,1.078332,0.036982
-0.022396,1.079592,0.213356,-0.912077,0.616283,-0.329789,0.039615,0.364022,-0.011873,-0.068063,0.397432,-29.133723,-10.282558,10.349204,1.480607,0.040064
-0.019088,1.056616,0.210569,-0.912275,0.617648,3.494259,0.040817,0.467468,-0.012292,-0.216309,0.301680,-45.140343,-7.854372,14.466484,1.026699,0.043146
-0.015789,1.042545,0.207848,-0.900531,0.618781,5.473538,0.041980,0.522244,-0.012991,-0.348047,0.213579,-51.807240,-3.193488,20.021994,0.250259,0.046228
-0.012498,1.040542,0.205211,-0.874403,0.618697,5.040436,0.043103,0.508187,-0.014022,-0.450070,0.140930,-46.741560,1.467396,25.577503,-0.526181,0.049310
-0.009214,1.050315,0.202655,-0.834233,0.617425,2.252018,0.044187,0.426909,-0.015377,-0.522842,0.083368,-30.233425,6.128281,31.133013,-1.302622,0.052392
-0.005936,1.068609,0.200195,-0.781732,0.614707,-2.234849,0.045219,0.296253,-0.016989,-0.566393,0.040376,-5.708757,8.219580,35.604445,-1.644410,0.055474
-0.002655,1.084035,0.197899,-0.721715,0.609302,-6.099505,0.046138,0.178955,-0.018628,-0.579709,0.012149,14.774117,4.366992,37.568221,-0.980774,0.058556
0.000633,1.090087,0.195805,-0.656921,0.600509,-8.026738,0.046911,0.110463,-0.020169,-0.560413,-0.001198,24.287297,0.514403,39.531997,-0.317138,0.061637
0.003927,1.086767,0.193915,-0.587349,0.588327,-8.016548,0.047537,0.090776,-0.021609,-0.508505,0.000334,22.830782,-3.338186,41.495773,0.346497,0.064719
0.007227,1.074089,0.192228,-0.513001,0.572750,-6.069281,0.048019,0.119737,-0.022950,-0.424724,0.016748,10.341879,-7.190775,43.459548,1.010133,0.067801
0.010502,1.054729,0.190764,-0.434754,0.552751,-3.861081,0.048466,0.175758,-0.024192,-0.333516,0.043601,-5.085378,-8.564859,44.616706,0.392850,0.070883
0.013700,1.032249,0.189575,-0.353598,0.526284,-3.967559,0.049051,0.227395,-0.025328,-0.274745,0.075015,-11.407614,-9.592241,45.661031,-0.403614,0.073965
0.016822,1.007252,0.188640,-0.269885,0.493745,-6.415143,0.049778,0.272174,-0.026367,-0.249186,0.110049,-8.352688,-10.619622,46.705356,-1.200079,0.077047
0.019871,0.979757,0.187958,-0.183616,0.455171,-11.187930,0.050645,0.310159,-0.027309,-0.257220,0.148674,3.992094,-11.647003,47.749681,-1.996543,0.080129
0.022850,0.951658,0.187541,-0.094249,0.410733,-17.316995,0.051578,0.333266,-0.028141,-0.283314,0.188331,21.476164,-10.938981,49.296837,-2.052829,0.083211
0.025778,0.928093,0.187416,-0.000326,0.360898,-22.169571,0.052377,0.319511,-0.028826,-0.284524,0.222074,32.850175,-8.133238,51.451807,-1.214403,0.086292
0.028660,0.911353,0.187598,0.098840,0.305865,-24.574441,0.052951,0.259161,-0.029349,-0.243334,0.246803,33.047921,-5.327495,53.606776,-0.375977,0.089374
0.031498,0.901440,0.188085,0.203248,0.245636,-24.531605,0.053302,0.152215,-0.029709,-0.159744,0.262516,22.069401,-2.521752,55.761746,0.462448,0.092456
0.034290,0.898448,0.188886,0.312887,0.180324,-22.004772,0.053424,-0.001407,-0.029904,-0.032841,0.268405,-0.099839,0.223426,57.772927,1.281508,0.095538
