Header:
v=1.000000
T=0.308187
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
0.037066,0.899876,0.190010,0.421165,0.120532,-17.970705,0.053336,-0.147819,-0.030002,0.079322,0.238845,-25.549185,0.881075,54.828070,1.433062,0.098620
0.039854,0.902904,0.191427,0.522278,0.075249,-13.494190,0.053081,-0.239364,-0.030074,0.128835,0.154655,-46.512854,1.538725,51.883214,1.584616,0.101702
0.042655,0.907532,0.193137,0.616226,0.044476,-8.575227,0.052658,-0.276042,-0.030122,0.115699,0.015838,-62.990847,2.196374,48.938358,1.736170,0.104784
0.045469,0.913760,0.195140,0.703014,0.028209,-3.213311,0.052067,-0.258038,-0.030144,0.040749,-0.177616,-74.942368,2.854023,45.993502,1.887724,0.107866
0.048316,0.923840,0.197403,0.781742,0.022006,1.699461,0.051397,-0.201929,-0.030161,-0.065897,-0.396022,-80.490034,5.575848,42.228114,1.358250,0.110947
0.051240,0.942360,0.199860,0.850584,0.016808,4.345995,0.050826,-0.141826,-0.030213,-0.141353,-0.578899,-75.734493,9.652982,37.923979,0.381623,0.114029
0.054255,0.970800,0.202491,0.908954,0.009694,4.141356,0.050412,-0.088909,-0.030313,-0.164515,-0.706769,-59.378143,13.730115,33.619843,-0.595005,0.117111
0.057366,1.009727,0.205303,0.956251,0.000556,0.921861,0.050165,-0.043590,-0.030463,-0.132381,-0.776476,-30.754994,17.807249,29.315707,-1.571632,0.120193
0.060577,1.058240,0.208294,0.993878,-0.009950,-4.728126,0.050070,-0.006506,-0.030655,-0.053092,-0.793143,7.480283,21.166395,26.187909,-2.126945,0.123275
0.063923,1.110496,0.211436,1.031120,-0.017356,-8.890437,0.050039,0.018330,-0.030835,0.020388,-0.790089,37.475026,21.234841,28.451539,-0.751275,0.126357
0.067430,1.162936,0.214717,1.073883,-0.018725,-9.035641,0.050017,0.029002,-0.030969,0.056261,-0.787834,47.649750,21.303286,30.715169,0.624394,0.129439
0.071095,1.215543,0.218137,1.122153,-0.014064,-5.164706,0.050004,0.025036,-0.031057,0.053589,-0.786393,38.014623,21.371731,32.978799,2.000064,0.132520
0.074921,1.268347,0.221696,1.175958,-0.003380,2.723544,0.050000,0.006645,-0.031099,0.011507,-0.785768,8.735030,21.440176,35.242429,3.375733,0.135602
0.078344,1.065584,0.224770,0.968016,0.009354,4.146362,0.052542,1.079701,-0.028911,0.969084,-0.775975,4.160163,-1.264780,-0.095729,-0.001030,0.138684
0.081619,1.062466,0.227671,0.937549,0.022124,4.143314,0.055911,1.095291,-0.026002,0.940034,-0.763114,4.175405,-1.264780,-0.095729,-0.001030,0.141766
0.084893,1.059348,0.230563,0.907083,0.034892,4.140265,0.059285,1.110881,-0.023103,0.910984,-0.750248,4.190647,-1.264780,-0.095729,-0.001030,0.144848
0.088154,1.056230,0.233319,0.876617,0.047646,4.137217,0.062728,1.126471,-0.020333,0.881933,-0.737315,4.205889,-1.264780,-0.095729,-0.001030,0.147930
0.091398,1.053112,0.235916,0.846151,0.060385,4.134169,0.066253,1.142061,-0.017715,0.852883,-0.724302,4.221131,-1.264780,-0.095729,-0.001030,0.151012
0.094642,1.049994,0.238513,0.815684,0.073124,4.131120,0.069778,1.157651,-0.015097,0.823833,-0.711289,4.236373,-1.264780,-0.095729,-0.001030,0.154094
0.097875,1.046876,0.240996,0.785218,0.085851,4.128072,0.073361,1.173241,-0.012587,0.794782,-0.698219,4.251615,-1.264780,-0.095729,-0.001030,0.157175
0.101091,1.043758,0.243321,0.754752,0.098563,4.125024,0.077024,1.188831,-0.010228,0.765732,-0.685070,4.266857,-1.264780,-0.095729,-0.001030,0.160257
0.104304,1.040640,0.245614,0.724286,0.111271,4.121975,0.080705,1.204421,-0.007900,0.736682,-0.671905,4.282099,-1.264780,-0.095729,-0.001030,0.163339
0.107516,1.037522,0.247900,0.693819,0.123979,4.118927,0.084389,1.220011,-0.005578,0.707632,-0.658736,4.297341,-1.264780,-0.095729,-0.001030,0.166421
0.110698,1.034404,0.249888,0.663353,0.136656,4.115878,0.088225,1.235601,-0.003541,0.678581,-0.645418,4.312582,-1.264780,-0.095729,-0.001030,0.169503
0.113880,1.031286,0.251875,0.632887,0.149334,4.112830,0.092062,1.251191,-0.001504,0.649531,-0.632101,4.327824,-1.264780,-0.095729,-0.001030,0.172585
0.117058,1.028168,0.253826,0.602420,0.162008,4.109782,0.095917,1.266781,0.000498,0.620481,-0.618764,4.343066,-1.264780,-0.095729,-0.001030,0.175667
0.120220,1.025050,0.255614,0.571954,0.174666,4.106733,0.099856,1.282371,0.002345,0.591430,-0.605347,4.358308,-1.264780,-0.095729,-0.001030,0.178749
0.123370,1.021932,0.257297,0.541488,0.187313,4.103685,0.103848,1.297962,0.004092,0.562380,-0.591876,4.373550,-1.264780,-0.095729,-0.001030,0.181830
0.126521,1.018814,0.258980,0.511022,0.199960,4.100636,0.107841,1.313552,0.005838,0.533330,-0.578406,4.388792,-1.264780,-0.095729,-0.001030,0.184912
0.129654,1.015696,0.260496,0.480555,0.212591,4.097588,0.111919,1.329142,0.007425,0.504280,-0.564852,4.404034,-1.264780,-0.095729,-0.001030,0.187994
0.132774,1.012578,0.261880,0.450089,0.225208,4.094540,0.116064,1.344732,0.008887,0.475229,-0.551232,4.419276,-1.264780,-0.095729,-0.001030,0.191076
0.135894,1.009460,0.263258,0.419623,0.237825,4.091491,0.120212,1.360322,0.010343,0.446179,-0.537610,4.434518,-1.264780,-0.095729,-0.001030,0.194158
0.139004,1.006342,0.264550,0.389156,0.250433,4.088443,0.124405,1.375912,0.011717,0.417129,-0.523944,4.449760,-1.264780,-0.095729,-0.001030,0.197240
0.142093,1.003224,0.265623,0.358690,0.263019,4.085395,0.128709,1.391502,0.012883,0.388078,-0.510169,4.465002,-1.264780,-0.095729,-0.001030,0.200322
0.145181,1.000106,0.266697,0.328224,0.275606,4.082346,0.133014,1.407092,0.014048,0.359028,-0.496393,4.480243,-1.264780,-0.095729,-0.001030,0.203404
0.148263,0.996988,0.267707,0.297758,0.288186,4.079298,0.137351,1.422682,0.015153,0.329978,-0.482586,4.495485,-1.264780,-0.095729,-0.001030,0.206485
0.151325,0.993870,0.268527,0.267291,0.300747,4.076249,0.141784,1.438272,0.016078,0.300928,-0.468685,4.510727,-1.264780,-0.095729,-0.001030,0.209567
0.154382,0.990752,0.269296,0.236825,0.313302,4.073201,0.146244,1.453862,0.016953,0.271877,-0.454757,4.525969,-1.264780,-0.095729,-0.001030,0.212649
0.157437,0.987634,0.270047,0.206359,0.325856,4.070153,0.150714,1.469452,0.017810,0.242827,-0.440821,4.541211,-1.264780,-0.095729,-0.001030,0.215731
0.160471,0.984516,0.270592,0.175893,0.338390,4.067104,0.155289,1.485042,0.018472,0.213777,-0.426781,4.556453,-1.264780,-0.095729,-0.001030,0.218813
0.163497,0.981398,0.271057,0.145426,0.350915,4.064056,0.159905,1.500632,0.019057,0.184726,-0.412701,4.571695,-1.264780,-0.095729,-0.001030,0.221895
0.166523,0.978280,0.271521,0.114960,0.363440,4.061008,0.164521,1.516223,0.019641,0.155676,-0.398621,4.586937,-1.264780,-0.095729,-0.001030,0.224977
0.169532,0.975162,0.271818,0.084494,0.375949,4.057959,0.169222,1.531813,0.020066,0.126626,-0.384457,4.602179,-1.264780,-0.095729,-0.001030,0.228059
0.172527,0.972044,0.271977,0.054027,0.388444,4.054911,0.173994,1.547403,0.020361,0.097576,-0.370225,4.617421,-1.264780,-0.095729,-0.001030,0.231140
0.175522,0.968926,0.272137,0.023561,0.400939,4.051862,0.178766,1.562993,0.020655,0.068525,-0.355993,4.632663,-1.264780,-0.095729,-0.001030,0.234222
0.178507,0.965808,0.272204,-0.006905,0.413424,4.048814,0.183586,1.578583,0.020861,0.039475,-0.341714,4.647904,-1.264780,-0.095729,-0.001030,0.237304
0.181470,0.962690,0.272059,-0.037371,0.425889,4.045766,0.188514,1.594173,0.020864,0.010425,-0.327329,4.663146,-1.264780,-0.095729,-0.001030,0.240386
0.184434,0.959572,0.271914,-0.067838,0.438353,4.042717,0.193441,1.609763,0.020868,-0.018626,-0.312944,4.678388,-1.264780,-0.095729,-0.001030,0.243468
0.187390,0.956454,0.271697,-0.098304,0.450810,4.039669,0.198406,1.625353,0.020803,-0.047676,-0.298523,4.693630,-1.264780,-0.095729,-0.001030,0.246550
0.190328,0.953336,0.271301,-0.128770,0.463249,4.036620,0.203462,1.640943,0.020567,-0.076726,-0.284013,4.708872,-1.264780,-0.095729,-0.001030,0.249632
0.193260,0.950218,0.270851,-0.159237,0.475683,4.033572,0.208546,1.656533,0.020280,-0.105776,-0.269476,4.724114,-1.264780,-0.095729,-0.001030,0.252713
0.196193,0.947100,0.270402,-0.189703,0.488117,4.030524,0.213630,1.672123,0.019993,-0.134827,-0.254939,4.739356,-1.264780,-0.095729,-0.001030,0.255795
0.199100,0.943982,0.269704,-0.220169,0.500526,4.027475,0.218840,1.687713,0.019470,-0.163877,-0.240278,4.754598,-1.264780,-0.095729,-0.001030,0.258877
0.202001,0.940864,0.268949,-0.250635,0.512930,4.024427,0.224080,1.703303,0.018893,-0.192927,-0.225588,4.769840,-1.264780,-0.095729,-0.001030,0.261959
0.204900,0.937746,0.268179,-0.281102,0.525331,4.021379,0.229328,1.718893,0.018300,-0.221978,-0.210890,4.785082,-1.264780,-0.095729,-0.001030,0.265041
0.207785,0.934628,0.267267,-0.311568,0.537719,4.018330,0.234648,1.734483,0.017573,-0.251028,-0.196122,4.800324,-1.264780,-0.095729,-0.001030,0.268123
0.210655,0.931510,0.266208,-0.342034,0.550092,4.015282,0.240044,1.750074,0.016705,-0.280078,-0.181280,4.815565,-1.264780,-0.095729,-0.001030,0.271205
0.213525,0.928392,0.265149,-0.372500,0.562465,4.012233,0.245439,1.765664,0.015837,-0.309128,-0.166438,4.830807,-1.264780,-0.095729,-0.001030,0.274287
0.216383,0.925274,0.263965,-0.402967,0.574825,4.009185,0.250899,1.781254,0.014849,-0.338179,-0.151533,4.846049,-1.264780,-0.095729,-0.001030,0.277368
0.219224,0.922156,0.262628,-0.433433,0.587170,4.006137,0.256437,1.796844,0.013717,-0.367229,-0.136552,4.861291,-1.264780,-0.095729,-0.001030,0.280450
0.222063,0.919038,0.261264,-0.463899,0.599513,4.003088,0.261988,1.812434,0.012558,-0.396279,-0.121557,4.876533,-1.264780,-0.095729,-0.001030,0.283532
0.224899,0.915920,0.259876,-0.494366,0.611853,4.000040,0.267552,1.828024,0.011377,-0.425330,-0.106551,4.891775,-1.264780,-0.095729,-0.001030,0.286614
0.227707,0.912801,0.258208,-0.524832,0.624165,3.996991,0.273259,1.843614,0.009928,-0.454380,-0.091404,4.907017,-1.264780,-0.095729,-0.001030,0.289696
0.230515,0.909683,0.256540,-0.555298,0.636476,3.993943,0.278967,1.859204,0.008479,-0.483430,-0.076257,4.922259,-1.264780,-0.095729,-0.001030,0.292778
0.233318,0.906565,0.254828,-0.585764,0.648784,3.990895,0.284696,1.874794,0.006989,-0.512481,-0.061089,4.937501,-1.264780,-0.095729,-0.001030,0.295860
0.236104,0.903447,0.252949,-0.616231,0.661075,3.987846,0.290511,1.890384,0.005339,-0.541531,-0.045836,4.952743,-1.264780,-0.095729,-0.001030,0.298942
0.238880,0.900329,0.250976,-0.646697,0.673356,3.984798,0.296375,1.905974,0.003600,-0.570581,-0.030537,4.967984,-1.264780,-0.095729,-0.001030,0.302023
0.241657,0.897211,0.249003,-0.677163,0.685638,3.981750,0.302238,1.921564,0.001860,-0.599631,-0.015238,4.983226,-1.264780,-0.095729,-0.001030,0.305105
0.244422,0.894093,0.246924,-0.707630,0.697909,3.978701,0.308155,1.937154,0.000020,-0.628682,0.000115,4.998468,-1.264780,-0.095729,-0.001030,0.308187
