Header:
v=0.500000
T=0.354797
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
0.004816,0.432342,0.179976,0.437269,0.439430,-22.480862,0.018540,0.017678,-0.023689,-0.078174,0.431994,6.632571,-12.132244,37.204596,-0.416215,0.124179
0.006301,0.399252,0.181654,0.508199,0.362397,-23.318893,0.018554,-0.014792,-0.023834,0.001272,0.428126,-4.978482,-11.210935,37.303381,-0.077877,0.127727
0.007718,0.371361,0.183579,0.578988,0.290822,-22.789718,0.018556,-0.038554,-0.023959,0.061324,0.383569,-17.843435,-8.442169,37.101682,0.388504,0.131275
0.009079,0.351328,0.185752,0.649205,0.229648,-20.672324,0.018554,-0.047294,-0.024069,0.084560,0.289984,-31.340581,-5.673403,36.899983,0.854885,0.134823
0.010383,0.339152,0.188173,0.718849,0.178876,-16.966709,0.018548,-0.041011,-0.024163,0.070980,0.147373,-45.469921,-2.904637,36.698284,1.321265,0.138371
0.011631,0.334833,0.190842,0.787921,0.138504,-11.672880,0.018538,-0.019843,-0.024242,0.020798,-0.044267,-60.230329,-0.135872,36.496585,1.787646,0.141919
0.012856,0.338600,0.193739,0.854399,0.106611,-5.734099,0.018533,0.010440,-0.024315,-0.050513,-0.262789,-72.869424,2.790796,34.889682,1.707622,0.145467
0.014133,0.350938,0.196819,0.913943,0.079070,-1.175562,0.018554,0.037391,-0.024409,-0.109637,-0.460650,-77.477319,5.908113,31.586162,0.967878,0.149015
0.015503,0.372122,0.200058,0.964112,0.053561,0.863841,0.018610,0.053746,-0.024537,-0.137426,-0.611115,-70.728397,9.025429,28.282642,0.228135,0.152563
0.016966,0.402153,0.203455,1.004906,0.030082,0.384111,0.018702,0.059504,-0.024698,-0.133881,-0.714182,-52.622658,12.142746,24.979122,-0.511608,0.156111
0.018524,0.441031,0.207011,1.036325,0.008634,-2.614752,0.018830,0.054665,-0.024893,-0.099002,-0.769852,-23.160103,15.260062,21.675602,-1.251351,0.159659
0.020182,0.486195,0.210709,1.060258,-0.009765,-7.037087,0.018981,0.041761,-0.025106,-0.043194,-0.787262,12.213159,16.598264,19.684456,-1.356415,0.163207
0.021962,0.531175,0.214510,1.081477,-0.022541,-10.112373,0.019120,0.027524,-0.025298,0.006947,-0.789517,39.728137,15.090345,19.792769,-0.446155,0.166755
