Header:
v=0.700000
T=0.356790
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
-0.044590,0.618272,0.252108,-0.711992,0.707473,3.800374,-0.000000,1.481847,0.001037,-0.693819,0.020732,4.884619,6.315133,0.727239,-1.516085,0.000000
-0.042368,0.634432,0.249512,-0.744354,0.717418,-0.725690,0.005127,1.392188,-0.001312,-0.715245,0.048044,26.578124,5.032821,1.114294,-1.134103,0.003568
-0.040113,0.646934,0.246809,-0.775612,0.720273,-3.943923,0.009941,1.303445,-0.003412,-0.689690,0.094742,39.895059,3.750509,1.501348,-0.752120,0.007136
-0.037826,0.655777,0.243999,-0.805766,0.716039,-5.854324,0.014442,1.215619,-0.005263,-0.617154,0.160826,44.835425,2.468197,1.888403,-0.370138,0.010704
-0.035506,0.660961,0.241080,-0.834815,0.704716,-6.456893,0.018629,1.128709,-0.006865,-0.497629,0.246296,41.399136,1.185885,2.275458,0.011845,0.014272
-0.033157,0.662612,0.238056,-0.862553,0.686863,-5.816594,0.022507,1.043169,-0.008223,-0.336295,0.348348,30.090329,-0.006495,2.810413,0.355119,0.017840
-0.030798,0.662031,0.234956,-0.886841,0.668264,-4.605296,0.026127,0.963812,-0.009394,-0.187586,0.437985,16.133397,-0.394597,4.668087,0.352214,0.021407
-0.028449,0.660343,0.231804,-0.905828,0.653919,-3.403946,0.029531,0.894769,-0.010424,-0.098349,0.490133,4.043051,-0.782698,6.525761,0.349309,0.024975
-0.026109,0.657547,0.228601,-0.919515,0.643829,-2.212542,0.032720,0.836041,-0.011315,-0.068583,0.504792,-6.180709,-1.170800,8.383435,0.346404,0.028543
-0.023779,0.653645,0.225345,-0.927902,0.637994,-1.031085,0.035693,0.787565,-0.012065,-0.098171,0.481962,-14.531831,-1.558901,10.241108,0.343498,0.032111
-0.021458,0.648812,0.222047,-0.930995,0.636116,0.108347,0.038455,0.747669,-0.012704,-0.178445,0.425566,-20.915096,-1.819955,12.094228,0.321479,0.035679
-0.019148,0.643969,0.218753,-0.928827,0.636656,1.039865,0.041029,0.708945,-0.013384,-0.267009,0.355883,-24.960946,-1.576425,13.929261,0.223542,0.039247
-0.016852,0.639820,0.215499,-0.921424,0.638434,1.636069,0.043433,0.665064,-0.014221,-0.330062,0.288492,-26.322493,-1.332894,15.764294,0.125606,0.042815
