Header:
v=0.400000
T=0.384201
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
-0.059936,0.307850,0.247856,-0.703376,0.705189,4.010404,0.000000,1.039804,0.000000,-0.620785,0.000000,4.940330,6.002448,10.790447,-0.791014,0.000000
-0.058718,0.325871,0.245151,-0.707285,0.714960,1.143816,0.003647,0.933161,-0.002376,-0.782705,0.031750,17.816667,5.749391,11.154077,-0.765951,0.003842
-0.057439,0.343121,0.242440,-0.710087,0.714606,-1.631293,0.006670,0.800661,-0.004734,-0.869917,0.086434,27.619539,5.496334,11.517706,-0.740888,0.007684
-0.056098,0.359603,0.239723,-0.711784,0.704129,-4.314921,0.009069,0.642305,-0.007075,-0.882420,0.164051,34.348947,5.243277,11.881336,-0.715824,0.011526
-0.054695,0.375314,0.237002,-0.712374,0.683527,-6.907068,0.010843,0.458092,-0.009400,-0.820213,0.264603,38.004890,4.990220,12.244965,-0.690761,0.015368
-0.053229,0.390256,0.234274,-0.711857,0.652800,-9.407793,0.011993,0.248045,-0.011707,-0.683221,0.388090,38.589544,4.737163,12.608595,-0.665698,0.019210
-0.051708,0.404295,0.231549,-0.710093,0.617768,-11.317187,0.012550,0.029279,-0.013943,-0.507143,0.511013,35.557632,4.405705,13.055189,-0.394682,0.023052
-0.050140,0.417216,0.228839,-0.706857,0.587884,-11.823226,0.012567,-0.170383,-0.016018,-0.349887,0.595201,28.025811,3.992646,13.588133,0.132322,0.026894
-0.048531,0.428881,0.226153,-0.701999,0.569205,-10.405723,0.012078,-0.333079,-0.017876,-0.248454,0.616199,15.431009,3.579588,14.121077,0.659326,0.030736
-0.046882,0.439289,0.223490,-0.695520,0.561729,-7.064678,0.011081,-0.458811,-0.019517,-0.202842,0.574007,-2.226774,3.166530,14.654020,1.186329,0.034578
-0.045192,0.448441,0.220850,-0.687421,0.565459,-1.800079,0.009578,-0.547575,-0.020942,-0.213041,0.468626,-24.947371,2.753472,15.186964,1.713333,0.038420
-0.043461,0.456306,0.218234,-0.677667,0.580642,5.431020,0.007557,-0.598512,-0.022144,-0.280180,0.298651,-52.841798,2.340414,15.719908,2.240337,0.042262
-0.041691,0.463653,0.215651,-0.667195,0.595185,11.446337,0.005253,-0.623985,-0.023167,-0.352804,0.123374,-74.723544,2.429607,15.631097,1.136237,0.046104
-0.039891,0.471286,0.213106,-0.657009,0.597614,13.377905,0.002931,-0.639380,-0.024075,-0.380552,0.000278,-80.755033,2.529046,15.529602,-0.001137,0.049946
-0.038060,0.479220,0.210597,-0.647132,0.587667,11.158106,0.000597,-0.644997,-0.024870,-0.362287,-0.069339,-70.700812,2.628485,15.428107,-1.138510,0.053788
-0.036199,0.487458,0.208126,-0.637563,0.565342,4.786939,-0.001750,-0.640837,-0.025552,-0.298009,-0.085477,-44.560881,2.727924,15.326613,-2.275884,0.057630
-0.034307,0.495997,0.205692,-0.628303,0.530643,-5.735527,-0.004108,-0.626909,-0.026121,-0.187763,-0.048140,-2.336975,2.827363,15.225118,-3.413258,0.061472
-0.032389,0.504285,0.203308,-0.618026,0.486752,-17.935699,-0.006435,-0.604243,-0.026587,-0.056530,0.023598,45.751007,2.599517,15.906270,-3.333438,0.065314
-0.030451,0.511382,0.200994,-0.604488,0.439059,-27.624295,-0.008658,-0.574591,-0.026967,0.053335,0.097432,82.393202,2.002623,17.469938,-1.881104,0.069156
-0.028500,0.516664,0.198764,-0.586194,0.391158,-32.011934,-0.010728,-0.539132,-0.027272,0.113568,0.151843,96.061897,1.405729,19.033606,-0.428771,0.072998
-0.026534,0.520130,0.196619,-0.563144,0.343048,-31.098614,-0.012645,-0.497868,-0.027503,0.124169,0.186833,86.757093,0.808835,20.597274,1.023563,0.076840
-0.024553,0.521781,0.194558,-0.535338,0.294730,-24.884344,-0.014410,-0.450798,-0.027658,0.085142,0.202401,54.478970,0.211941,22.160942,2.475896,0.080682
-0.022557,0.521539,0.192586,-0.502567,0.246197,-13.133201,-0.016014,-0.397651,-0.027735,-0.005654,0.197677,-1.792811,-0.384953,23.724610,3.928229,0.084524
-0.020562,0.519821,0.190735,-0.466755,0.207631,-0.418951,-0.017254,-0.325445,-0.027769,-0.099983,0.161702,-59.058770,-0.705170,24.079905,3.065887,0.088366
-0.018580,0.517144,0.189028,-0.429930,0.187500,8.991835,-0.017971,-0.223902,-0.027795,-0.153216,0.087115,-96.187614,-1.013863,24.384872,2.107140,0.092208
